n,const_,sum_,prod_,direct_poly,horners_poly,bubblesort.sort,quicksort.sort,timsort.sort,matrix_mult
1,5.681999937223736e-07,2.0513200070126913e-05,1.8254800033901118e-05,2.3367999801848782e-06,3.160799997203867e-06,1.0677999853214715e-06,1.2383999546727863e-06,3.5990000014862745e-06,4.19539996983076e-06
2,4.987999545846833e-07,2.0107799991819773e-05,1.777459992808872e-05,2.864400039470638e-06,3.5569999454310162e-06,1.916800010803854e-06,1.2263999451533891e-06,4.42860005023249e-06,5.017599960410735e-06
3,6.115999440226005e-07,1.9894200022463338e-05,1.830159999371972e-05,3.143199955957243e-06,3.862399898935109e-06,2.9418000849545932e-06,5.842599966854322e-06,9.585799989508815e-06,5.964599995422759e-06
4,5.52400069864234e-07,2.146140004697372e-05,2.0011600008729145e-05,4.014600062873797e-06,4.401800015330082e-06,3.7388000691862543e-06,8.055400030571036e-06,1.0853599951587966e-05,5.8848000207945004e-06
5,5.52200026504579e-07,2.1631800018440116e-05,2.0343599999250728e-05,4.43560002167942e-06,4.7607999931642555e-06,4.529800025920849e-06,9.317600006397698e-06,1.1604600013015443e-05,5.231800014371402e-06
6,5.491999218065757e-07,2.0236400132489507e-05,1.866000002337387e-05,3.947999903175514e-06,4.376799915917218e-06,5.754000039814855e-06,1.1389199971745257e-05,1.2995400084037101e-05,6.096799961596844e-06
7,6.395000013981189e-07,2.2210800034372367e-05,2.1249400060696643e-05,4.898199995295726e-06,4.968200073562912e-06,7.073599999785074e-06,1.3214999989941134e-05,1.4428400027099996e-05,6.213799997567548e-06
8,5.976000011287397e-07,2.232459996776015e-05,2.0923400052197393e-05,5.052199958299752e-06,5.2299999879323876e-06,8.157999991453834e-06,1.540819998808729e-05,1.533619997644564e-05,6.199200015544193e-06
9,5.961999704595656e-07,2.1948199946564274e-05,2.012300005844736e-05,5.0766001095325915e-06,5.293200047162827e-06,9.77920003606414e-06,1.6864600002008957e-05,1.6790600056992844e-05,6.4861999817367176e-06
10,6.332000339170918e-07,2.2356999943440313e-05,2.0750200064867386e-05,5.371199995352071e-06,5.585999997492763e-06,1.170959994851728e-05,1.8698000030781258e-05,1.803579998522764e-05,6.443199981731595e-06
11,6.021999979566317e-07,2.249560006930551e-05,2.0972200036339928e-05,5.664399986926583e-06,5.6726000821072375e-06,1.3646200068251347e-05,2.0970799960196017e-05,1.9422199966356856e-05,6.448599970099167e-06
12,6.776000191166531e-07,2.2434599941334454e-05,2.092899999297515e-05,5.918599981669104e-06,6.020400087436429e-06,1.591460004419787e-05,2.2892199967827765e-05,2.171860000999004e-05,6.9814000198675785e-06
13,6.256000688154018e-07,2.2052199938116246e-05,2.1161199947528074e-05,5.9985999541822824e-06,6.150399985926924e-06,1.871579997896333e-05,2.4441000050501316e-05,2.296980001119664e-05,7.20279999768536e-06
14,6.337999366223812e-07,2.2588000047107925e-05,2.167980001104297e-05,6.3456000134465285e-06,6.553400044140289e-06,2.1097799981362185e-05,2.749039999798697e-05,2.461160001985263e-05,7.606600001963671e-06
15,6.392000159394229e-07,2.2455999987869292e-05,2.129619997504051e-05,6.472599989137962e-06,6.494799936263007e-06,2.318699998795637e-05,2.9025799994997216e-05,2.7418200079409872e-05,7.544199979747645e-06
16,6.320000466075726e-07,2.2207199981494342e-05,2.0902399955957663e-05,6.538800016642199e-06,6.771399966964964e-06,2.5359400024171918e-05,3.128419998574827e-05,2.6788799914356787e-05,7.570599927930744e-06
17,6.292000307439594e-07,4.273839999768825e-05,4.160200005571823e-05,7.269999969139462e-06,7.034000009298324e-06,2.871579995371576e-05,3.445679999458662e-05,2.872140003091772e-05,7.537400006185635e-06
18,6.045999725756701e-07,2.2524599989992568e-05,2.121719999195193e-05,7.039200045255711e-06,7.037199975457043e-06,3.1430800027010265e-05,3.551959998731036e-05,2.995780009769078e-05,7.961199935380137e-06
19,6.34199977866956e-07,4.255739995642216e-05,4.115860006095318e-05,7.3885999881895256e-06,7.28939994587563e-06,3.510879996611038e-05,3.696300004776276e-05,3.165620005347591e-05,7.166600016716984e-06
