method,approx_func,loss,init_params,params,iterations,try_num,true_init
nelder_mead,rational,268399.90172898443,"[-3.7473108413948637, 3.4896979699495185, -3.5842297307882207, 0.3303706824085637]","[37820.12913163667, -2801.3169360750744, -106030.8444452736, 7486.170019258996]",1001,0,False
lm,rational,268512.7971459207,"[-3.7473108413948637, 3.4896979699495185, -3.5842297307882207, 0.3303706824085637]","[-0.0021299306902292673, 0.0028126552780285818, -1.6626439642411484, 0.14707562949908842]",6,0,False
diff_ev,rational,267570.86350163026,"[-3.7473108413948637, 3.4896979699495185, -3.5842297307882207, 0.3303706824085637]","[-3.3971275171803015, 2.2862127013524685, -0.9906507251754681, 2.1879545975337473]",73,0,False
part_swarm,rational,203823.57676942882,"[-3.7473108413948637, 3.4896979699495185, -3.5842297307882207, 0.3303706824085637]","[-2.4199396840439205, 2.428712024073435, -2.0063328834092258, 1.0065923910621457]",1000,0,False
nelder_mead,rational,268454.7578438668,"[-2.5053082391815, 3.8229735328744745, 0.5625283945610802, -2.977243890120528]","[-0.5893629509650624, 0.883966424706164, -0.02897543826505245, -2.1979461340957256]",404,1,False
lm,rational,277777.1029051002,"[-2.5053082391815, 3.8229735328744745, 0.5625283945610802, -2.977243890120528]","[-8.661962772643859, 12.705353298364095, 21.68371814144072, -33.962103015847]",27,1,False
diff_ev,rational,267659.204269217,"[-2.5053082391815, 3.8229735328744745, 0.5625283945610802, -2.977243890120528]","[-2.9936307455556412, 1.875196320682619, -0.9016927468432625, 2.2753022670753396]",76,1,False
part_swarm,rational,268713.2169920261,"[-2.5053082391815, 3.8229735328744745, 0.5625283945610802, -2.977243890120528]","[-2.1911009640883634, 3.1874258757183584, 0.31057753737763344, -2.568800664189916]",1000,1,False
nelder_mead,rational,134888.97053076443,"[-0.23644278605181857, 2.3967134376122416, 1.420525209037101, 0.14730950028733059]","[-1.1604085610422095, 1.1609502509007565, -2.0007141339604946, 1.0007297602769039]",592,2,False
lm,rational,267838.5952474143,"[-0.23644278605181857, 2.3967134376122416, 1.420525209037101, 0.14730950028733059]","[-3.9067253929133496, 2.2167511868284793, 0.635005523747779, 2.1662558613244727]",6,2,False
diff_ev,rational,142197.6639515555,"[-0.23644278605181857, 2.3967134376122416, 1.420525209037101, 0.14730950028733059]","[-1.4547058164239985, 1.455434212514316, -2.0009552801162465, 1.0009768413389415]",55,2,False
part_swarm,rational,137577.08557747354,"[-0.23644278605181857, 2.3967134376122416, 1.420525209037101, 0.14730950028733059]","[-1.265487351214061, 1.4014155183455321, -2.108868451091929, 1.108917810939058]",1000,2,False
nelder_mead,rational,268424.4806933316,"[-2.908550106853877, 0.7112176061220792, 2.2315371059820945, -2.0352637176213575]","[-1.3839870037081343, 0.8381323470159173, 2.9053111308839012, -2.1140669924710376]",146,3,False
lm,rational,268394.7065856072,"[-2.908550106853877, 0.7112176061220792, 2.2315371059820945, -2.0352637176213575]","[-19.670952401923884, 13.696419281695993, 52.85255698860062, -37.265234215302534]",10,3,False
diff_ev,rational,134211.9708772365,"[-2.908550106853877, 0.7112176061220792, 2.2315371059820945, -2.0352637176213575]","[-1.018532106119414, 1.018091927739774, -1.999795370460134, 0.9997970997620754]",63,3,False
part_swarm,rational,233398.20619095635,"[-2.908550106853877, 0.7112176061220792, 2.2315371059820945, -2.0352637176213575]","[-1.1869581540622383, 1.1926093566700013, -2.0574483542884203, 1.0592482687843983]",1000,3,False
nelder_mead,rational,268398.59777932754,"[-1.6597830870872672, -1.5131540200032259, -1.7412555870825912, -1.337764673044754]","[-31.145137216011207, 85.43262688744673, 82.93267612111322, -235.234197868205]",813,4,False
lm,rational,279109.22327397065,"[-1.6597830870872672, -1.5131540200032259, -1.7412555870825912, -1.337764673044754]","[-1.1260171416990192, 2.600631188249566, 0.5406588539704054, -6.6315342933759736]",33,4,False
diff_ev,rational,266071.8128048105,"[-1.6597830870872672, -1.5131540200032259, -1.7412555870825912, -1.337764673044754]","[0.1825556124883274, -1.2076807673857277, -2.7718954757210814, 2.3468146751538876]",90,4,False
part_swarm,rational,137272.21335736243,"[-1.6597830870872672, -1.5131540200032259, -1.7412555870825912, -1.337764673044754]","[-0.7987300707205998, 0.3337353699773563, -1.4275501650311808, 0.427559882602319]",1000,4,False
nelder_mead,rational,958.9045587590615,"[0, 1, -3, 2]","[0.00022677350147119095, 1.0020569940493163, -2.9999449582608086, 1.99993072532253]",108,5,True
lm,rational,960.2369137517379,"[0, 1, -3, 2]","[0.0, 1.0, -3.0, 2.0]",14,5,True
diff_ev,rational,958.0740408296065,"[0, 1, -3, 2]","[-0.004579090646239368, 1.0093004915133517, -2.9999519475797434, 1.9999415201866702]",87,5,True
part_swarm,rational,137943.3756972878,"[0, 1, -3, 2]","[-0.7768228115432062, 0.9005704436823352, -2.1563440449398152, 1.1563440303076122]",1000,5,True
