algo,main_n,n_edges,time
fw,55,110.0,1.6756003929986036
fw,55,165.0,1.6636213270030566
fw,55,220.0,1.6869803899971885
fw,50,100.0,1.1841675949981436
fw,50,150.0,1.2382251570015796
fw,50,200.0,1.2340086879994487
fw,45,90.0,0.8940761479971115
fw,45,135.0,0.9048589689991786
fw,45,180.0,0.8893373149985564
fw,40,80.0,0.6537699039981817
fw,40,120.0,0.731496528002026
fw,40,160.0,0.674056076000852
fw,35,70.0,0.42747029699967243
fw,35,105.0,0.4125771460021497
fw,35,140.0,0.4106325660031871
fw,30,60.0,0.2661024120025104
fw,30,90.0,0.2656493680042331
fw,30,120.0,0.26336866000201553
fw,25,50.0,0.1508399369995459
fw,25,75.0,0.15115025099657942
fw,25,100.0,0.15606790500169154
fw,20,40.0,0.08314793000317877
fw,20,60.0,0.08164267500251299
fw,20,80.0,0.08186685900000157
fw,15,30.0,0.03420497800107114
fw,15,45.0,0.03363024999998743
fw,15,60.0,0.03340238300006604
fw,10,20.0,0.012015640997560695
fw,10,30.0,0.014524931997584645
fw,10,40.0,0.011861920000228565
mc,100,,4.340300953997939
mc,95,,3.6576846780008054
mc,90,,3.175179797995952
mc,85,,2.61928612999327
mc,80,,2.1422904539940646
mc,75,,1.8342196199955652
mc,70,,1.4618601019974449
mc,65,,1.1560038160023396
mc,60,,0.9283637589978753
mc,55,,0.7289070940023521
mc,50,,0.5425585510020028
mc,45,,0.3911027930007549
mc,40,,0.2772282089936198
mc,35,,0.18968823800241807
mc,30,,0.1385060690008686
mc,25,,0.06903110600251239
mc,20,,0.03556516699609347
mc,15,,0.015677773997595068
mc,10,,0.004910134004603606
mc,5,,0.0006862340014777146
